Location,Booth Name,Categories,Others,Fandoms
A1,Anime Access + Nihoen,"printed,stationery,accessories,apparel",,"fgo,mhw,leagueoflegends,overwatch,nierautomata,heroaca"
A2,Dvenart & Jacktus,"printed,stationery,accessories,crafts",A bit of succulents :3,ghibli
A3,Awkward Penguin Art & Niacube,"printed,accessories,crafts",,"pokemon,mysticmessenger"
A4,LeFudge,"printed,stationery,accessories,apparel,services,crafts",,"attackontitan,houseki,clamp,monhun,nekoatsume,heroaca,blackbutler,pandorahearts,advtime,miraculousladybug,starvsevil,voltron"
A5+A6,Ethereal Heaven,"printed,stationery,accessories,services",,"fgo,kingdomhearts,vocaloid,hetalia,voltron,heroaca,persona,cardcaptor"
A7,Nyantory,crafts,,"onmyouji,ghibli,tabikaeru"
A8,⋆ KatsuNYAAN! ⋆,"printed,stationery,services",,"houseki,overwatch,ddlc,strangerthings,it,southpark,franxx,yurionice,blackpanther,popteamepic"
B1,STARDUST CREATIONS,accessories,,"cardcaptor,sailormoon,alicewonder,disney"
B2,AYAM,"printed,stationery,services",,"persona5,devilmancrybaby,voltron,ff15,marvel,heroaca,batman,gintama"
B3,Aira & Hani,"printed,stationery,accessories,services,crafts",Original artworks,"sailormoon,cardcaptor,gameofthrones,hannibal,pacificrim,harrypotter"
B4,Maguro Guildshop,"printed,accessories,crafts",,"onmyouji,pokemon,dota,jojo,yurionice,dontstarve"
B5,Raiyne,"printed,accessories",,"overwatch,leagueoflegends,gameofthrones"
B6,Homura25 Vocaloid Store,"printed,stationery,accessories,apparel",,vocaloid
B7,Suki Ni Shiro,"printed,apparel",,"overwatch,kancolle"
B8,The Astronomical Stop,"printed,stationery,crafts",,"heroaca,yakuza,mlp"
C1,The Looming Morrow,"printed,crafts",,"tolkien,lemonysnicket,witcher"
C2,Wengy Studio,"printed,accessories",,"rwby,macross,fate"
C3,AAAH‼ Studios,"printed,stationery,accessories","Badges, Commissions","pokemongo,mysticmessenger,popteamepic"
C4,Fruitcakes,printed,Doujin,"fgo,yurionice,toukenranbu,cardcaptor,franxx"
C5,Abunai Usagi Canvas,"printed,accessories,services,crafts",,"pokemon,vocaloid,heroaca,kokkuri,fantasticbeasts,onepunch,nekoatsume,llsunshine,gameofthrones,toukenranbu"
C6,JENGKAY,"printed,stationery,accessories,services,crafts",,"persona5,yurionice,naruto,sao"
C7,Cruise Crusade,"printed,accessories",,"pokemon,darksouls,pacificrim,gundam,transformers,warhammer"
C8,Chizza with Friends,printed,,evergarden
D1,Shinner,"printed,stationery,accessories,crafts",Handmade healing balms,"voltron,marvel"
D2,United Derp Guild,"printed,stationery,accessories,crafts",,"jojo,heroaca,ff10,fma,mlp,kekkeisensen,berserk,overwatch"
D3,Azreenchan,"printed,stationery,accessories",,"harrypotter,fantasticbeasts,sailormoon"
D4,Abam Apam,"printed,accessories",,
D5,5 More Minutes,"printed,services",,"ff15,marvel,dccomics,gbf"
D6,tsukicchii,"printed,accessories",,"osomatsu,danganronpa"
D7,Artsyhooman & Bylynnamalina,"printed,stationery","Open commission, Stickers, Button badges","pokemon,heroaca,ghibli,sailormoon,cardcaptor,madeinabyss"
D8,D*sign Underground,"printed,accessories,crafts",Fanart comic copy,"yurionice,mysticmessenger,residentevil,fgo"
